"id","大会名","都道府県","地域","緯度","経度","開催月","開催週","開催日備考","種別","詳細種目","距離","定員","参加費","エントリー開始","エントリー締切","制限時間","公式サイトURL","エントリーURL","備考","要確認"
"12","長野マラソン","長野県","中部","36.6513","138.1812","4","3","","ロード","フルマラソン(42.195km)","42.195km","10000","10000","10月","12月","5時間30分","https://www.nagano-marathon.com/","","",""
"13","静岡マラソン","静岡県","中部","34.9756","138.3828","3","1","","ロード","フルマラソン(42.195km)","42.195km","10000","11000","8月","11月","6時間","https://shizuoka-marathon.jp/","","",""
"14","富山マラソン","富山県","中部","36.6953","137.2113","11","1","","ロード","フルマラソン(42.195km)","42.195km","12000","12000","5月","7月","6時間","https://toyama-marathon.jp/","","",""
"15","金沢マラソン","石川県","中部","36.5613","136.6562","10","4","","ロード","フルマラソン(42.195km)","42.195km","12000","12000","5月","7月","6時間","https://kanazawa-marathon.jp/","","",""
"16","奈良マラソン","奈良県","近畿","34.6851","135.8050","12","2","","ロード","フルマラソン(42.195km)","42.195km","15000","10000","6月","8月","6時間","https://www.nara-marathon.jp/","","",""
"17","広島マラソン","広島県","中国","34.3853","132.4553","3","2","","ロード","フルマラソン(42.195km)","42.195km","12000","12000","8月","10月","6時間","https://hiroshima-marathon.jp/","","",""
"18","鳥取マラソン","鳥取県","中国","35.5011","134.2351","3","3","","ロード","フルマラソン(42.195km)","42.195km","5000","13000","9月","12月","6時間","https://tottori-marathon.jp/","","",""
"19","高知龍馬マラソン","高知県","四国","33.5597","133.5311","2","2","","ロード","フルマラソン(42.195km)","42.195km","7000","9000","8月","11月","6時間","https://www.ryoma-marathon.jp/","","",""
"20","徳島マラソン","徳島県","四国","34.0658","134.5593","4","4","","ロード","フルマラソン(42.195km)","42.195km","8000","9000","9月","12月","6時間","https://tokushima-marathon.jp/","","",""
"21","熊本城マラソン","熊本県","九州・沖縄","32.8031","130.7079","2","3","","ロード","フルマラソン(42.195km)","42.195km","15000","12000","8月","10月","6時間","https://kumamoto-castle-marathon.jp/","","",""
"23","青島太平洋マラソン","宮崎県","九州・沖縄","31.8019","131.4699","12","2","","ロード","フルマラソン(42.195km)","42.195km","10000","8000","7月","9月","6時間","https://www.aoshima-pm.com/","","",""
"24","下関海響マラソン","山口県","中国","33.9500","130.9352","11","1","","ロード","フルマラソン(42.195km)","42.195km","10000","11000","5月","7月","6時間","https://www.kaikyomarathon.jp/","","",""
"25","福岡国際マラソン","福岡県","九州・沖縄","33.5904","130.4017","12","1","","ロード","フルマラソン(42.195km)","42.195km","2200","10000","7月","10月","3時間","https://www.fukuoka-marathon.com/","","招待・選手権大会",""
"26","那覇マラソン","沖縄県","九州・沖縄","26.2124","127.6809","12","1","","ロード","フルマラソン(42.195km)","42.195km","30000","8000","7月","9月","7時間","https://www.naha-marathon.jp/","","",""
"27","水戸黄門漫遊マラソン","茨城県","関東","36.3716","140.4750","10","4","","ロード","フルマラソン(42.195km)","42.195km","14000","9000","4月","7月","6時間","https://www.mito-marathon.jp/","","",""
"28","つくばマラソン","茨城県","関東","36.0832","140.1113","11","4","","ロード","フルマラソン(42.195km)","42.195km","15000","10000","4月","7月","5時間","https://www.tsukuba-marathon.com/","","",""
"29","かすみがうらマラソン","茨城県","関東","36.0332","140.1824","4","3","","ロード","フルマラソン(42.195km)","42.195km","15000","10000","10月","1月","6時間","https://kasumigaura-marathon.jp/","","",""
"30","いびがわマラソン","岐阜県","中部","35.5072","136.5642","11","2","","ロード","フルマラソン(42.195km)","42.195km","8000","9000","5月","8月","6時間","https://www.ibigawa-marathon.jp/","","",""
"31","愛媛マラソン","愛媛県","四国","33.8416","132.7657","2","1","","ロード","フルマラソン(42.195km)","42.195km","7000","10000","8月","10月","6時間","https://ehime-marathon.com/","","",""
"32","仙台国際ハーフ","宮城県","東北","38.2682","140.8694","5","2","","ロード","ハーフマラソン(21km)","21.0975km","8000","8000","1月","3月","2時間20分","https://www.sendai-marathon.jp/","","",""
"33","洞爺湖マラソン","北海道","北海道","42.5435","140.7770","5","3","","ロード","フルマラソン(42.195km)","42.195km","6000","10000","11月","2月","6時間","https://www.toyako-marathon.jp/","","",""
"34","函館マラソン","北海道","北海道","41.7688","140.7290","7","1","","ロード","フルマラソン(42.195km)","42.195km","7000","10000","1月","4月","6時間","https://hakodate-marathon.jp/","","",""
"35","上尾シティハーフマラソン","埼玉県","関東","35.9777","139.5861","11","3","","ロード","ハーフマラソン(21km)","21.0975km","12000","7000","6月","8月","2時間30分","https://ageo-city-half-marathon.jp/","","",""
"36","いわきサンシャインマラソン","福島県","東北","37.0508","140.8872","2","2","","ロード","フルマラソン(42.195km)","42.195km","10000","11000","8月","10月","6時間","https://www.iwaki-sm.jp/","","",""
"37","いわて盛岡シティマラソン","岩手県","東北","39.7036","141.1527","10","1","","ロード","フルマラソン(42.195km)","42.195km","6000","9000","4月","7月","6時間","https://iwate-morioka-city-marathon.jp/","","",""
"38","さいたまマラソン","埼玉県","関東","35.9077","139.6566","11","4","","ロード","フルマラソン(42.195km)","42.195km","20000","13000","5月","7月","6時間","https://saitama-marathon.jp/","","",""
"39","神奈川マラソン","神奈川県","関東","35.4437","139.6380","2","1","","ロード","フルマラソン(42.195km)","42.195km","8000","8000","9月","11月","6時間","https://kanagawa-marathon.jp/","","",""
"40","香川丸亀国際ハーフマラソン","香川県","四国","34.2892","133.7955","2","1","","ロード","ハーフマラソン(21km)","21.0975km","8000","8000","10月","12月","2時間30分","https://www.nhk.or.jp/marugame/","","","記録公認大会"
"41","さが桜マラソン","佐賀県","九州・沖縄","33.2494","130.2990","3","4","","ロード","フルマラソン(42.195km)","42.195km","10000","9000","10月","12月","6時間","https://sagasakura-marathon.jp/","","",""
"44","国宝松江城マラソン","島根県","中国","35.4723","133.0505","12","1","","ロード","フルマラソン(42.195km)","42.195km","5000","13500","4月","6月","6時間","https://www.matsuejo-marathon.jp/","","",""
"45","岡山マラソン","岡山県","中国","34.6613","133.9350","11","3","","ロード","フルマラソン(42.195km)","42.195km","15000","12000","4月","7月","6時間","https://okayama-marathon.jp/","","",""
"47","防府読売マラソン","山口県","中国","34.0525","131.5625","12","2","","ロード","フルマラソン(42.195km)","42.195km","3000","10000","6月","9月","3時間","https://www.hofu-yomiuri-marathon.jp/","","記録重視",""
"48","チャレンジ富士五湖ウルトラマラソン","山梨県","中部","35.4895","138.7640","4","3","","ウルトラ","100km","100km","6000","18000","10月","1月","14時間","https://www.fujigoko.org/","","",""
"49","野辺山高原100kmウルトラマラソン","長野県","中部","35.9419","138.4748","5","3","","ウルトラ","100km","100km","3000","18000","1月","3月","14時間","https://www.nobeyama-ultramarathon.jp/","","",""
"50","サロマ湖100kmウルトラマラソン","北海道","北海道","44.1167","143.9667","6","4","","ウルトラ","100km","100km","3000","13000","2月","4月","13時間","https://www.saroma.org/","","国内最高峰",""
"51","四万十川ウルトラマラソン","高知県","四国","33.0747","132.9506","10","3","","ウルトラ","100km","100km","2200","18000","5月","7月","14時間","https://www.shimanto-ultramarathon.jp/","","",""
"52","飛騨高山ウルトラマラソン","岐阜県","中部","36.1461","137.2520","6","2","","ウルトラ","100km","100km","3000","18000","1月","4月","14時間","https://www.hidatakayama-ultra.jp/","","",""
"53","丹後100kmウルトラマラソン","京都府","近畿","35.6275","135.0781","9","3","","ウルトラ","100km","100km","3000","18000","4月","7月","13時間","https://tango100.com/","","",""
"54","秋田内陸100kmチャレンジマラソン","秋田県","東北","39.7360","140.7560","9","3","","ウルトラ","100km","100km","2000","15000","3月","5月","14時間","https://akita-nairan-100km.jp/","","",""
"55","赤城山100kmウルトラマラソン","群馬県","関東","36.5439","139.1953","9","2","","ウルトラ","100km","100km","2000","18000","3月","5月","14時間","https://akagiyama-ultra.jp/","","",""
"56","村岡ダブルフルウルトラランニング","兵庫県","近畿","35.4963","134.5489","9","4","","ウルトラ","100km","100km","2000","18000","4月","6月","20時間","https://www.muraoka-ultrarunning.jp/","","",""
"57","いわて銀河ウルトラマラソン","岩手県","東北","39.2836","141.1167","6","3","","ウルトラ","100km","100km","2500","16000","1月","3月","14時間","https://www.iwate-ginga.jp/","","",""
"58","奥武蔵ウルトラマラソン","埼玉県","関東","35.9166","139.3166","10","4","","ウルトラ","50km","70km","2000","12000","4月","7月","10時間","https://www.okumusashi-ultra.jp/","","",""
"59","宮古島100kmワイドーマラソン","沖縄県","九州・沖縄","24.8055","125.2814","1","3","","ウルトラ","100km","100km","2000","15000","8月","10月","14時間","https://www.miyakojima-ultra.jp/","","",""
"60","屋久島一周ウルトラECOマラニック","鹿児島県","九州・沖縄","30.3622","130.5466","1","2","","ウルトラ","100km","100km","500","18000","9月","11月","20時間","https://yakushima-ultramarathon.com/","","",""
"61","能登半島すずウルトラマラソン","石川県","中部","37.4365","137.2141","4","4","","ウルトラ","50km","55km","200","12000","1月","2月","12時間","https://suzu-ultra.jp/","","",""
"62","柴又100K","東京都","関東","35.7550","139.8747","6","2","","ウルトラ","100km","100km","2500","16000","1月","3月","14時間","https://shibamata100k.jp/","","",""
"63","UTMF（ウルトラトレイル・マウント・フジ）","静岡県","中部","35.3606","138.7274","4","3","","トレイル","ロング(80km〜)","165km","2500","50000","10月","11月","46時間","https://www.ultratrailmtfuji.com/","","国内最大級トレイル",""
"64","信越五岳トレイルランニングレース","長野県","中部","36.7513","138.1812","9","2","","トレイル","ロング(80km〜)","110km","1200","32000","4月","5月","32時間","https://shinetsu110.com/","","",""
"65","富士登山競走","山梨県","中部","35.3606","138.7274","7","4","","トレイル","ショート(〜30km)","21km","3000","4000","1月","2月","4時間30分","https://www.fujisan-climb.jp/","","山頂コースあり",""
"66","上州武尊山スカイビュートレイル","群馬県","関東","36.7906","139.1803","7","2","","トレイル","ミドル(30〜80km)","69km","1200","18000","2月","3月","18時間","https://skytreiltailrace.com/","","",""
"67","ハセツネCUP（日本山岳耐久レース）","東京都","関東","35.7382","139.0513","10","2","","トレイル","ロング(80km〜)","71.5km","2400","16000","4月","5月","24時間","https://www.hasetsune.com/","","",""
"68","比叡山インターナショナルトレイルラン","京都府","近畿","35.0766","135.7826","5","3","","トレイル","ロング(80km〜)","50km","1500","20000","1月","2月","16時間","https://hiei-trail.jp/","","",""
"69","OSJ ONTAKE100","長野県","中部","35.8981","137.4814","7","3","","トレイル","ロング(80km〜)","100km","800","25000","1月","3月","32時間","https://www.ontake100.jp/","","",""
"70","六甲縦走キャノンボールラン","兵庫県","近畿","34.7500","135.2333","11","1","","トレイル","ロング(80km〜)","56km","500","20000","8月","9月","24時間","https://rokkosan.net/cb/","","",""
"72","奥信濃100","長野県","中部","36.9500","138.3500","6","3","","トレイル","ロング(80km〜)","100km","600","25000","2月","3月","30時間","https://okunoshina100.jp/","","",""
"74","NORTH ONTAKE MARATHON","岐阜県","中部","35.8500","137.4000","9","2","","トレイル","ロング(80km〜)","111km","800","30000","3月","5月","30時間","https://northontake.jp/","","",""
"75","富士忍野高原トレイルレース","山梨県","中部","35.4510","138.7750","6","1","","トレイル","ミドル(30〜80km)","35km","1200","12000","2月","4月","10時間","https://oshinotrail.jp/","","",""
"76","神流マウンテンラン&ウォーク","群馬県","関東","36.1000","138.9000","6","1","","トレイル","ミドル(30〜80km)","42km","1000","12000","2月","4月","12時間","https://kanna-mr.jp/","","",""
"78","隠岐の島ウルトラマラソン","島根県","中国","36.2000","133.3167","6","3","","ウルトラ","100km","100km","1500","18000","1月","3月","14時間","https://okishima-ultra.jp/","","","離島大会"
"86","沖縄100Kウルトラマラソン","沖縄県","九州・沖縄","26.2124","127.6809","12","3","","ウルトラ","100km","100km","2000","18000","7月","9月","14時間","https://okinawa100k.jp/","","",""
"87","SUWA LAKE 100K","長野県","中部","36.0397","138.0936","5","4","","ウルトラ","100km","100km","1500","18000","1月","3月","14時間","https://suwako100k.jp/","","",""
"88","鯖街道ウルトラマラソン","福井県","中部","35.5082","135.6561","5","3","","ウルトラ","50km","77km","2000","12000","1月","3月","12時間","https://sabakaido-ultra.jp/","","",""
"89","横須賀・三浦みちくさマラソン","神奈川県","関東","35.2500","139.6167","5","4","","ウルトラ","50km","72km","1500","12000","1月","3月","12時間","https://michikusa-ultra.com/","","",""
"90","BIWAKO 24","滋賀県","近畿","35.0116","135.8681","3","2","","ウルトラ","200km以上","160.9km","500","35000","10月","12月","24時間","https://biwako24.jp/","","",""
"92","佐渡島一周ウルトラ遠足","新潟県","中部","38.0186","138.3680","9","3","","ウルトラ","200km以上","208km","1000","30000","3月","5月","50時間","https://sadoshima-ultra.jp/","","","離島大会"
"93","会津磐梯山ウルトラマラソン","福島県","東北","37.5500","139.9667","6","2","","ウルトラ","100km","100km","1500","16000","1月","3月","14時間","https://aizu-ultra.jp/","","",""
"94","南房総100km","千葉県","関東","35.1500","139.9500","3","2","","ウルトラ","100km","100km","2000","15000","10月","12月","14時間","https://boso-ultra.jp/","","",""
"96","壱岐ウルトラマラソン","長崎県","九州・沖縄","33.7667","129.6833","10","3","","ウルトラ","100km","100km","1500","18000","4月","6月","14時間","https://iki-ultra.jp/","","離島大会",""
"97","上五島トレイル","長崎県","九州・沖縄","32.6947","128.8394","1","4","","トレイル","ショート(〜30km)","18km","200","7000","11月","1月","8時間","https://kamigoto-trail.com/","","",""
"99","阿賀ウルトラマラソン","新潟県","中部","37.8500","139.5000","9","2","","ウルトラ","100km","100km","1500","16000","3月","6月","14時間","https://aga-ultra.jp/","","",""
"100","えちご・くびき野100kmマラソン","新潟県","中部","37.1167","138.2500","10","3","","ウルトラ","100km","100km","2000","16000","4月","6月","14時間","https://kubiki-ultra.jp/","","",""
